LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  2 by 1 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 99999
velocity all create 3 99999

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.103 | 3.103 | 3.103 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.6986816    
       500   3.0498679      1.4433268      0              6.0158948      18.451102    
      1000   3.0940626      1.278864       0              5.9176917      17.367775    
      1500   2.9878814      1.3596062      0              5.8392398      18.028012    
      2000   3.0537676      1.2897163      0              5.868131       17.410451    
      2500   3.0125658      1.3537879      0              5.8704302      17.942518    
      3000   3.0770487      1.4085643      0              6.0218836      18.351375    
      3500   3.0154973      1.2873819      0              5.8084192      17.273952    
      4000   3.0602521      1.347438       0              5.9355748      17.876366    
      4500   2.987718       1.3574887      0              5.8368774      17.776879    
      5000   3.040808       1.4250211      0              5.984006       18.480431    
      5500   3.0755768      1.3187038      0              5.9298164      17.833931    
      6000   2.9693299      1.3202291      0              5.7720492      17.768428    
      6500   2.9366819      1.3346678      0              5.7375398      17.356637    
      7000   3.0415411      1.1912088      0              5.7512927      16.764797    
      7500   2.9102603      1.4011592      0              5.764418       18.249982    
      8000   3.0169         1.2693555      0              5.7924957      17.056808    
      8500   2.9881956      1.3129392      0              5.7930439      17.565127    
      9000   3.0239874      1.3053676      0              5.8391338      17.477709    
      9500   3.0210134      1.3437725      0              5.8730799      17.832099    
     10000   3.0910479      1.3240404      0              5.9583484      17.691079    
     10500   3.0573051      1.3223058      0              5.9060242      17.827939    
     11000   2.9751237      1.3820542      0              5.8425607      17.954925    
     11500   2.9258587      1.3996122      0              5.7862572      18.171021    
     12000   2.945685       1.2710751      0              5.6874451      17.261617    
     12500   2.9741573      1.3191267      0              5.7781843      17.629537    
     13000   3.0272658      1.2228601      0              5.7615415      16.698762    
     13500   3.025415       1.2875304      0              5.8234371      17.376835    
     14000   2.9165194      1.3722392      0              5.7448822      17.937673    
     14500   3.0047288      1.3278508      0              5.8327432      17.783405    
     15000   3.1020934      1.3325162      0              5.9833842      17.732577    
     15500   3.0082469      1.2976587      0              5.8078257      17.342804    
     16000   3.0484877      1.3250777      0              5.8955765      17.581838    
     16500   2.9747015      1.2768366      0              5.73671        17.211898    
     17000   2.971554       1.2757533      0              5.7309079      17.130422    
     17500   2.9092418      1.3840765      0              5.7458084      17.842774    
     18000   3.0204469      1.289838       0              5.8182962      17.382754    
     18500   3.0135054      1.3751189      0              5.8931698      17.929015    
     19000   3.0446436      1.3316205      0              5.896356       17.841742    
     19500   3.0684646      1.2666828      0              5.8671323      17.222295    
